position,name,type,isnumeric,format,vallab,varlab
205,YA,byte,1,%9.0g,YA,Young/adult
206,hr_own,int,1,%9.0g,,Total hours in own use
207,combhrs,float,1,%9.0g,,Combined hours for Own use and employment
208,subhrs,int,1,%9.0g,,Time spent in subsistance activities
209,hr_cshmain,float,1,%9.0g,,Hourly wage of employees in main job
210,hr_cash,float,1,%9.0g,,Hourly wage of employees
211,TVT2,byte,1,%18.0g,TVT2,General or TVET attainemnt
212,TVET3,byte,1,%26.0g,TVET3,TVET Completion
213,agdis,byte,1,%9.0g,agdis,RECODE of A04 (Age at last birthday)
214,Prod_unit,byte,1,%15.0g,Prod_unit,Production sector unit
215,SM,byte,1,%80.0g,SM,Search methods
216,UD,byte,1,%27.0g,UD,Unemployment duration
217,IEV2,byte,1,%19.0g,IEV2,Formal and Informal employment for main job
218,head,byte,1,%9.0g,,Head of the household
219,dG01,byte,1,%9.0g,,fetch firewood
220,dG02,byte,1,%9.0g,,fetch water
221,dG03,byte,1,%9.0g,,searching fooder or grazing
222,dG04,byte,1,%9.0g,,manufacturing household goods
223,dG05,byte,1,%9.0g,,repairing household
224,dG06,byte,1,%9.0g,,Cooking and shopping
225,dG07,byte,1,%9.0g,,Looking after children and aldery
226,age3,byte,1,%9.0g,age3,selected age group
227,TVT,byte,1,%12.0g,TVT,Attended TVT or not
228,LU2,byte,1,%9.0g,,LU2 - Combined rate of unemployment and time-related underemployment(%)
229,LU3,byte,1,%9.0g,,LU3 - Combined rate of unemployment and potential labour force(%)
230,LU4,byte,1,%9.0g,,LU4 - Composite measure of labour underutilization(%)
231,TRUR,byte,1,%9.0g,,Time related underemployment rate(%)
232,indb05,byte,1,%43.0g,indb05,Field of education
233,isco2digit,byte,1,%81.0g,isco2digit,occupation activity at two digit
234,isic2digitdigit,byte,1,%126.0g,isic2digit,economic activity at two digit
235,indd01,byte,1,%50.0g,indd01, ISCO High level
236,indd03,byte,1,%69.0g,indd03, ISIC High level
237,inde02,byte,1,%69.0g,inde02, ISIC High level_secondary
238,age3_16_30,byte,1,%9.0g,age3_16_30,Youth age groups
239,YUR1,byte,1,%9.0g,,Youth unemployment rate
