Unnamed: 0,iso_code,region_group,income_group,country,survey,year,level,grade,category,sex,location,wealth,region,ethnicity,religion,language,disability,hh_edu_head,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
44410,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Butare,,,,,,0.32260000705719,0.0309999994933605,0.035300001502037,0.402599990367889,0.0524999983608723,0.0399000011384487,,0.188999995589256,0.280000001192093,0.258500009775162,0.554400026798248,0.862800002098083,172.0,128.0,101.0,436.0,436.0,306.0,167.0,167.0,167.0,327.0,145.0,162.0,,,,,0.162900000810623,273.0,0.24889999628067,87.0,,,0.0127999996766448,107.0,0.0096000004559755,107.0,0.0,93.0,0.0,186.0,,,0.710900008678436,470.0,,,,,,,,,,,,,,,,,,,,,,,,
44411,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Byumba,,,,,,0.200000002980232,0.0221999995410442,0.0121999997645617,0.283499985933304,0.0342999994754791,0.0236000008881092,,0.325899988412857,0.47409999370575,0.297399997711182,0.661800026893616,0.932699978351593,120.0,90.0,82.0,321.0,321.0,254.0,135.0,135.0,135.0,306.0,136.0,104.0,,,,,0.144999995827675,262.0,0.238100007176399,42.0,,,0.0,94.0,0.0,94.0,0.0,89.0,0.0,144.0,,,0.608399987220764,332.0,,,,,,,,,,,,,,,,,,,,,,,,
44412,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Cyangugu,,,,,,0.303000003099442,0.103200003504753,0.0549000017344952,0.416399985551834,0.0689999982714653,0.0315000005066395,,0.166700005531311,0.280000001192093,0.225500002503395,0.658200025558472,0.858299970626831,132.0,126.0,91.0,377.0,377.0,254.0,150.0,150.0,150.0,408.0,158.0,127.0,,,,,0.122100003063679,344.0,0.462700009346008,67.0,,,0.0,83.0,0.0,83.0,0.0,87.0,0.0,178.0,0.284999996423721,407.0,0.743099987506866,397.0,,,,,,,,,,,,,,,,,,,,,,,,
44413,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Gikongoro,,,,,,0.314999997615814,0.0225000008940697,0.0,0.336699992418289,0.0303000006824732,0.0,,0.256900012493134,0.367000013589859,0.26129999756813,0.5625,0.847599983215332,127.0,89.0,59.0,297.0,297.0,204.0,109.0,109.0,109.0,333.0,112.0,105.0,,,,,0.134800001978874,267.0,0.269199997186661,52.0,,,0.0,76.0,0.0,76.0,0.0,73.0,0.0,125.0,0.437999993562698,121.0,0.659600019454956,285.0,,,,,,,,,,,,,,,,,,,,,,,,
44414,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Gisenyi,,,,,,0.189999997615814,0.0724999979138374,0.0260000005364418,0.338299989700317,0.0789000019431114,0.0375999994575977,,0.220200002193451,0.302799999713898,0.283800005912781,0.565199971199036,0.869599997997284,100.0,69.0,77.0,266.0,266.0,213.0,109.0,109.0,109.0,370.0,92.0,92.0,,,,,0.244599997997284,278.0,,,,,0.0118000004440546,85.0,0.0,85.0,0.0,54.0,0.0,123.0,0.367799997329712,348.0,0.683099985122681,284.0,,,,,,,,,,,,,,,,,,,,,,,,
44415,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Gitarama,,,,,,0.299299985170364,0.0714000016450882,0.0234999991953373,0.417100012302399,0.0513999983668327,0.0245999991893768,,0.145999997854233,0.270099997520447,0.17509999871254,0.628199994564056,0.925899982452393,137.0,98.0,85.0,350.0,350.0,285.0,137.0,137.0,137.0,417.0,156.0,108.0,,,,,0.12219999730587,352.0,0.259299993515015,54.0,,,0.0,99.0,0.0,99.0,0.0,86.0,0.0,146.0,0.327499985694885,345.0,0.792500019073486,371.0,,,,,,,,,,,,,,,,,,,,,,,,
44416,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Kibungo,,,,,,0.215800002217293,0.0476000010967255,0.0176999997347593,0.349000006914139,0.0370999984443188,0.0102000003680587,,0.237000003457069,0.335299998521805,0.350100010633469,0.534699976444244,0.898400008678436,139.0,126.0,113.0,404.0,404.0,293.0,173.0,173.0,173.0,357.0,144.0,128.0,,,,,0.237499997019768,299.0,0.366699993610382,60.0,,,0.0,97.0,0.0,97.0,0.0,87.0,0.0,187.0,,,0.704599976539612,413.0,,,,,,,,,,,,,,,,,,,,,,,,
44417,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Kibuye,,,,,,0.150499999523163,0.0,0.015599999576807,0.226600006222725,0.0143999997526407,0.0043999999761581,,0.36939999461174,0.47749999165535,0.219300001859665,0.724500000476837,0.96670001745224,93.0,97.0,64.0,278.0,278.0,225.0,111.0,111.0,111.0,374.0,98.0,90.0,,,,,0.220200002193451,277.0,,,,,0.0,95.0,0.0,95.0,0.0,72.0,0.0,139.0,0.345999985933304,367.0,0.574500024318695,275.0,,,,,,,,,,,,,,,,,,,,,,,,
44418,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Kigali City,,,,,,0.478899985551834,0.244800001382828,0.145600005984306,0.603999972343445,0.230199992656708,0.169799998402596,,0.0866999998688698,0.124700002372265,0.238999992609024,0.56139999628067,0.694400012493134,380.0,286.0,206.0,947.0,947.0,636.0,369.0,369.0,369.0,431.0,342.0,373.0,,,,,0.112899996340275,443.0,0.641099989414215,248.0,0.8125,96.0,0.0531000010669231,207.0,0.0144999995827675,207.0,0.0216000005602837,139.0,0.0130000002682209,386.0,0.272700011730194,165.0,0.863600015640259,1122.0,,,,,,,,,,,,,,,,,,,,,,,,
44419,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region & Sex,Female,,,Kigali Rural,,,,,,0.336800009012222,0.0812000036239624,0.0263000000268221,0.394899994134903,0.0874999985098839,0.0397999994456768,,0.166700005531311,0.29899999499321,0.194600000977516,0.557200014591217,0.824199974536896,193.0,160.0,114.0,514.0,514.0,377.0,204.0,204.0,204.0,406.0,201.0,182.0,,,,,0.121200002729893,363.0,0.41049998998642,95.0,,,0.0,134.0,0.0,134.0,0.010499999858439,95.0,0.0,220.0,,,0.774100005626678,509.0,,,,,,,,,,,,,,,,,,,,,,,,
